URL's successfully downloaded,Size of the downloaded file,Number of Outlinks,Content-Type,,,
https://cinema.usc.edu/news/article.cfm?id=13981,21152,78,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14828,27103,79,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=14826,27040,84,text/htmlhttps://cinema.usc.edu/,40203,82,text/html
https://cinema.usc.edu/admissions/visitusccinema.cfm,28570,75,text/html,,,
https://cinema.usc.edu/contact/index.cfm,23370,66,text/html,,,
https://cinema.usc.edu/Laptops/,23002,68,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm,55951,135,text/html,,,
https://cinema.usc.edu/scholarships/index.cfm,41814,91,text/html,,,
https://cinema.usc.edu/inmotion/index.cfm,45427,163,text/html,,,
https://cinema.usc.edu/admissions/studentstories/index.cfm,36849,136,text/html,,,
https://cinema.usc.edu/facilities/overview.cfm,18842,67,text/html,,,
https://cinema.usc.edu/summer/index.cfm,25109,75,text/html,,,
https://cinema.usc.edu/mediastudies/index.cfm,33087,84,text/html,,,
https://cinema.usc.edu/admissions/why.cfm,29544,74,text/html,,,
https://cinema.usc.edu/research/research.cfm,22434,68,text/html,,,
https://cinema.usc.edu/onlinegiving/index.cfm,68938,88,text/html,,,
https://cinema.usc.edu/news/article.cfm?id=15997,26388,79,text/html,,,
https://cinema.usc.edu/sir/,31844,72,text/html,,,
https://cinema.usc.edu/research/units.cfm,21607,71,text/html,,,
https://cinema.usc.edu/about/history/index.cfm,25337,87,text/html,,,
https://cinema.usc.edu/facilities/post_production.cfm,25486,67,text/html,,,
https://cinema.usc.edu/interactive/index.cfm,36037,87,text/html,,,
https://cinema.usc.edu/facilities/screening.cfm,23410,67,text/html,,,
https://cinema.usc.edu/admissions/requestinformation.cfm,40826,73,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=31657&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,19314,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6450&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,18679,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6446&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,20104,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=6456&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,19459,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=33695&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,19862,70,text/html,,,
https://cinema.usc.edu/directories/profile.cfm?did=50&first&id=38013&last&referer=%2Fdirectories%2Ffaculty.cfm&startpage=1&startrow=1&title,17815,70,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=301&title,55755,131,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=271&title,56892,137,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=61&title,55893,136,text/html,,,
https://cinema.usc.edu/directories/faculty.cfm?did=50&first&last&referer=%2Fdirectories%2Ffaculty.cfm&startRow=121&title,57267,136,text/html,,,
